id, percentage, nft_price, offer_price
5722391,36,55,35
3713334,38,13,8
5669339,36,11,7
5615002,33,9,6
374464,28,7,5
8591919,33,6,4
8230622,33,6,4
8521813,33,6,4
8596117,40,5,3
9202381,40,5,3
1646775,20,5,4
9271717,40,5,3
9356355,40,5,3
3901205,40,5,3
4948550,27,165,120
9384459,32,775,525
9304361,31,22,15
9295511,31,22,15
7095472,20,5,4
9191397,28,7,5
8175094,35,39,25
9203861,30,10,7
6056827,40,10,6
9224330,10,10,9
1892007,37,8,5
8912131,0,8,8
4948213,7,140,130
5090314,6,43,40
8907341,33,6,4
9223269,40,5,3
9223291,40,5,3
8262686,16,6,5
7166358,20,245,195
